name,brand,category,subcategory,description,sku,costPrice,wholesalePrice,retailPrice,stock,images,status
"iQOO Neo 10R Back Cover","iQOO","Mobile Accessories","Back Cases","Premium transparent back case designed for iQOO Neo 10R Back Cover. Shockproof protection, precise cutouts and lightweight design.","IQO-00147","55","99","199","50","/uploads/backcase/Iqoo Back Case/iQOO Neo 10R Back Cover/iQOO Neo 10R Back Cover  2.jpg|/uploads/backcase/Iqoo Back Case/iQOO Neo 10R Back Cover/iQOO Neo 10R Back Cover  3.jpg|/uploads/backcase/Iqoo Back Case/iQOO Neo 10R Back Cover/iQOO Neo 10R Back Cover  4.jpg|/uploads/backcase/Iqoo Back Case/iQOO Neo 10R Back Cover/iQOO Neo 10R Back Cover  5.jpg|/uploads/backcase/Iqoo Back Case/iQOO Neo 10R Back Cover/iQOO Neo 10R Back Cover 1.jpg","Active"
"Nothing 2A","Nothing","Mobile Accessories","Back Cases","Premium transparent back case designed for Nothing 2A. Shockproof protection, precise cutouts and lightweight design.","NOT-00148","55","99","199","50","/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 1.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 2.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 3.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 4.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 5.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 6.jpg|/uploads/backcase/Nothing back case/Nothing 2A/Nothing 2A 7.jpg","Active"
"Nothing 3","Nothing","Mobile Accessories","Back Cases","Premium transparent back case designed for Nothing 3. Shockproof protection, precise cutouts and lightweight design.","NOT-00149","55","99","199","50","/uploads/backcase/Nothing back case/Nothing 3/Nothing 3 1.jpg|/uploads/backcase/Nothing back case/Nothing 3/Nothing 3 2.jpg|/uploads/backcase/Nothing back case/Nothing 3/Nothing 3 3.jpg|/uploads/backcase/Nothing back case/Nothing 3/Nothing 3 4.jpg","Active"
"Nothing 3A","Nothing","Mobile Accessories","Back Cases","Premium transparent back case designed for Nothing 3A. Shockproof protection, precise cutouts and lightweight design.","NOT-00150","55","99","199","50","/uploads/backcase/Nothing back case/Nothing 3A/Nothing 3A 1.jpg|/uploads/backcase/Nothing back case/Nothing 3A/Nothing 3A 2.jpg|/uploads/backcase/Nothing back case/Nothing 3A/Nothing 3A 3.jpg|/uploads/backcase/Nothing back case/Nothing 3A/Nothing 3A 4.jpg|/uploads/backcase/Nothing back case/Nothing 3A/Nothing 3A 5.jpg","Active"
"Nothing 3AP","Nothing","Mobile Accessories","Back Cases","Premium transparent back case designed for Nothing 3AP. Shockproof protection, precise cutouts and lightweight design.","NOT-00151","55","99","199","50","/uploads/backcase/Nothing back case/Nothing 3AP/Nothing 3AP 1.jpg|/uploads/backcase/Nothing back case/Nothing 3AP/Nothing 3AP 2.jpg|/uploads/backcase/Nothing back case/Nothing 3AP/Nothing 3AP 3.jpg|/uploads/backcase/Nothing back case/Nothing 3AP/Nothing 3AP 4.jpg|/uploads/backcase/Nothing back case/Nothing 3AP/Nothing 3AP 5.jpg","Active"
"Real X 7 pro","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Real X 7 pro. Shockproof protection, precise cutouts and lightweight design.","REA-00152","55","99","199","50","/uploads/backcase/Realme Back case/Real X 7 pro/51DayGOzEcL._SL1500_.jpg|/uploads/backcase/Realme Back case/Real X 7 pro/61OEGYOy3JL._SL1500_.jpg|/uploads/backcase/Realme Back case/Real X 7 pro/61X8Lu0yxLL._SL1500_.jpg|/uploads/backcase/Realme Back case/Real X 7 pro/61oRTmiSO1L._SL1500_.jpg|/uploads/backcase/Realme Back case/Real X 7 pro/61q-UX+EjhL._SL1500_.jpg","Active"
"Realme 10 4G","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 10 4G. Shockproof protection, precise cutouts and lightweight design.","REA-00153","55","99","199","50","/uploads/backcase/Realme Back case/Realme 10 4G/41KmGtFwxzL._SL1341_.jpg|/uploads/backcase/Realme Back case/Realme 10 4G/619nMRlasPL._SL1341_.jpg|/uploads/backcase/Realme Back case/Realme 10 4G/61A4bymV8mL._SL1341_ (1).jpg|/uploads/backcase/Realme Back case/Realme 10 4G/61A4bymV8mL._SL1341_.jpg|/uploads/backcase/Realme Back case/Realme 10 4G/61Edxz6xswL._SL1341_.jpg|/uploads/backcase/Realme Back case/Realme 10 4G/61wOJcRrR7L._SL1341_.jpg","Active"
"Realme 10 Pro Plus","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 10 Pro Plus. Shockproof protection, precise cutouts and lightweight design.","REA-00154","55","99","199","50","/uploads/backcase/Realme Back case/Realme 10 Pro Plus/Realme 10 Pro Plus 1.jpg|/uploads/backcase/Realme Back case/Realme 10 Pro Plus/Realme 10 Pro Plus 2.jpg|/uploads/backcase/Realme Back case/Realme 10 Pro Plus/Realme 10 Pro Plus 3.jpg|/uploads/backcase/Realme Back case/Realme 10 Pro Plus/Realme 10 Pro Plus 4.jpg|/uploads/backcase/Realme Back case/Realme 10 Pro Plus/Realme 10 Pro Plus 5.jpg","Active"
"Realme 10p","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 10p. Shockproof protection, precise cutouts and lightweight design.","REA-00155","55","99","199","50","/uploads/backcase/Realme Back case/Realme 10p/41JnKNpMzVL._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 10p/41dVKSyfehL.jpg|/uploads/backcase/Realme Back case/Realme 10p/51AUdjb8zHL._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 10p/51B6ywJ7ZDL._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 10p/51YWTamH+ZL._SL1000_.jpg","Active"
"Realme 11","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 11. Shockproof protection, precise cutouts and lightweight design.","REA-00156","55","99","199","50","/uploads/backcase/Realme Back case/Realme 11/71iqhpXE1pL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 11/71pEZ6qtGNL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 11/71rNl2EdHhL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 11/8113O0F03gL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 11/812PbPwMNqL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 11/817bqydlmyL._SL1500_.jpg","Active"
"Realme 11 prime 4G","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 11 prime 4G. Shockproof protection, precise cutouts and lightweight design.","REA-00157","55","99","199","50","/uploads/backcase/Realme Back case/Realme 11 prime 4G/61NjCompatabile for Mi Realme 11 Prime 4G Back Case Cover 1.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 2.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 3.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 4.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 5.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 6.jpg|/uploads/backcase/Realme Back case/Realme 11 prime 4G/Compatabile for Mi Realme 11 Prime 4G Back Case Cover 7.jpg","Active"
"Realme 11pp","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 11pp. Shockproof protection, precise cutouts and lightweight design.","REA-00158","55","99","199","50","/uploads/backcase/Realme Back case/Realme 11pp/415Va8JTL7L.jpg|/uploads/backcase/Realme Back case/Realme 11pp/41U9M7m78HL.jpg|/uploads/backcase/Realme Back case/Realme 11pp/510GBwXt2VL._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 11pp/51C7HaonRvL.jpg|/uploads/backcase/Realme Back case/Realme 11pp/51ihBixKhmL.jpg","Active"
"Realme 12","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 12. Shockproof protection, precise cutouts and lightweight design.","REA-00159","55","99","199","50","/uploads/backcase/Realme Back case/Realme 12/41FSj9FNNTL.jpg|/uploads/backcase/Realme Back case/Realme 12/516jXAZNN7L.jpg|/uploads/backcase/Realme Back case/Realme 12/61+j5kvz3CL._SL1161_.jpg|/uploads/backcase/Realme Back case/Realme 12/61-iKdFHmWL.jpg|/uploads/backcase/Realme Back case/Realme 12/61R9ORKeQOL.jpg","Active"
"Realme 12 p","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 12 p. Shockproof protection, precise cutouts and lightweight design.","REA-00160","55","99","199","50","/uploads/backcase/Realme Back case/Realme 12 p/41i22OMjOhL.jpg|/uploads/backcase/Realme Back case/Realme 12 p/41nzvJdmf1L.jpg|/uploads/backcase/Realme Back case/Realme 12 p/41t3bwSsb8L.jpg|/uploads/backcase/Realme Back case/Realme 12 p/41yv2BWUlWL.jpg|/uploads/backcase/Realme Back case/Realme 12 p/71tlED9nbvL._SL1500_.jpg","Active"
"Realme 13 Pro 5G  13 Plus","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 13 Pro 5G  13 Plus. Shockproof protection, precise cutouts and lightweight design.","REA-00161","55","99","199","50","/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_case.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_features.png|/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_holding.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_protection.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_resistant.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro 5G  13 Plus/Back Cover for Realme 13 Pro 5G  13 Plus Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_softcase.jpg","Active"
"Realme 13 Pro Plus 5G","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 13 Pro Plus 5G. Shockproof protection, precise cutouts and lightweight design.","REA-00162","55","99","199","50","/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_case.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_cases.png|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_features.png|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_holding.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_protection.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_resistant.jpg|/uploads/backcase/Realme Back case/Realme 13 Pro Plus 5G/Back Cover for Realme 13 Pro Plus 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_soft case.jpg","Active"
"Realme 13 c","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 13 c. Shockproof protection, precise cutouts and lightweight design.","REA-00163","55","99","199","50","/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c (2).jpg|/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c (3).jpg|/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c (4).jpg|/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c (5).jpg|/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c (6).jpg|/uploads/backcase/Realme Back case/Realme 13 c/realme 13 c.jpg","Active"
"Realme 14","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 14. Shockproof protection, precise cutouts and lightweight design.","REA-00164","55","99","199","50","/uploads/backcase/Realme Back case/Realme 14/51LG8gy7xLL._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 14/61IMxt8AxvL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 14/61QyToETq3L._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 14/716Klm9w65L._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 14/716zwULMtpL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 14/717Q6NpHRaL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 14/71BYRBlXe2L._SL1500_.jpg","Active"
"Realme 14 Pro","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 14 Pro. Shockproof protection, precise cutouts and lightweight design.","REA-00165","55","99","199","50","/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 1.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 2.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 3.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 4.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 5.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 6.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro/Realme 14 Pro 7.jpg","Active"
"Realme 14 Pro Plus","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 14 Pro Plus. Shockproof protection, precise cutouts and lightweight design.","REA-00166","55","99","199","50","/uploads/backcase/Realme Back case/Realme 14 Pro Plus/Realme 14 Pro Plus 1.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro Plus/Realme 14 Pro Plus 2.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro Plus/Realme 14 Pro Plus 3.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro Plus/Realme 14 Pro Plus 4.jpg|/uploads/backcase/Realme Back case/Realme 14 Pro Plus/Realme 14 Pro Plus 5.jpg","Active"
"Realme 14X 5G","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 14X 5G. Shockproof protection, precise cutouts and lightweight design.","REA-00167","55","99","199","50","/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_Holding.jpg|/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_cases.jpg|/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_diff.png|/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_feature.png|/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_protection.jpg|/uploads/backcase/Realme Back case/Realme 14X 5G/Back Cover for Realme 14X 5G Transparent Mobile Back Case Shock Proof Design Camera Edges Protection Crystal Clear Phone Case Silicon Soft TPU and Flexible Bumper Phone Cover_resistant.jpg","Active"
"Realme 2","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 2. Shockproof protection, precise cutouts and lightweight design.","REA-00168","55","99","199","50","/uploads/backcase/Realme Back case/Realme 2/Realme 2 1.jpg|/uploads/backcase/Realme Back case/Realme 2/Realme 2 2.jpg|/uploads/backcase/Realme Back case/Realme 2/Realme 2 3.jpg|/uploads/backcase/Realme Back case/Realme 2/Realme 2 4.jpg","Active"
"Realme 3","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 3. Shockproof protection, precise cutouts and lightweight design.","REA-00169","55","99","199","50","/uploads/backcase/Realme Back case/Realme 3/615WD21rjHL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 3/6175M83292L._SL1400_.jpg|/uploads/backcase/Realme Back case/Realme 3/61fmvuW2vJL._SL1400_.jpg|/uploads/backcase/Realme Back case/Realme 3/61v90YUJSSL._SL1400_.jpg|/uploads/backcase/Realme Back case/Realme 3/61zGwu7RFtL._SL1400_.jpg","Active"
"Realme 3p","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 3p. Shockproof protection, precise cutouts and lightweight design.","REA-00170","55","99","199","50","/uploads/backcase/Realme Back case/Realme 3p/21PX7kjVI3L._SY450_.jpg|/uploads/backcase/Realme Back case/Realme 3p/41tztPwP6nL.jpg|/uploads/backcase/Realme Back case/Realme 3p/51Oa1OQnxHS._SL1405_ (1).jpg|/uploads/backcase/Realme Back case/Realme 3p/51Oa1OQnxHS._SL1405_.jpg|/uploads/backcase/Realme Back case/Realme 3p/51q3UtPBH3L._SL1000_ (1).jpg|/uploads/backcase/Realme Back case/Realme 3p/51q3UtPBH3L._SL1000_.jpg|/uploads/backcase/Realme Back case/Realme 3p/61wfVFqibwL._SL1400_.jpg","Active"
"Realme 5","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 5. Shockproof protection, precise cutouts and lightweight design.","REA-00171","55","99","199","50","/uploads/backcase/Realme Back case/Realme 5/realme 5 1.jpg|/uploads/backcase/Realme Back case/Realme 5/realme 5 2.jpg|/uploads/backcase/Realme Back case/Realme 5/realme 5 3.jpg|/uploads/backcase/Realme Back case/Realme 5/realme 5 4.jpg|/uploads/backcase/Realme Back case/Realme 5/realme 5 5.jpg","Active"
"Realme 5 Pro","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 5 Pro. Shockproof protection, precise cutouts and lightweight design.","REA-00172","55","99","199","50","/uploads/backcase/Realme Back case/Realme 5 Pro/7.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 1.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 2.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 3.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 4.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 5.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 6.jpg|/uploads/backcase/Realme Back case/Realme 5 Pro/Realme 5 Pro 8.jpg","Active"
"Realme 6","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 6. Shockproof protection, precise cutouts and lightweight design.","REA-00173","55","99","199","50","/uploads/backcase/Realme Back case/Realme 6/61MN99E3D6L._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 6/61X8Lu0yxLL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 6/712dSX5o0bL._SL1500_.jpg|/uploads/backcase/Realme Back case/Realme 6/Realme 6.jpg","Active"
"Realme 6 pro","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 6 pro. Shockproof protection, precise cutouts and lightweight design.","REA-00174","55","99","199","50","/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro1.jpg|/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro2.jpg|/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro3.jpg|/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro4.jpg|/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro5.jpg|/uploads/backcase/Realme Back case/Realme 6 pro/Realme 6 Pro6.jpg","Active"
"Realme 7","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 7. Shockproof protection, precise cutouts and lightweight design.","REA-00175","55","99","199","50","/uploads/backcase/Realme Back case/Realme 7/Realme 7 1.jpg|/uploads/backcase/Realme Back case/Realme 7/Realme 7 2.jpg|/uploads/backcase/Realme Back case/Realme 7/Realme 7 3.jpg|/uploads/backcase/Realme Back case/Realme 7/Realme 7 4.jpg|/uploads/backcase/Realme Back case/Realme 7/Realme 7 5.jpg","Active"
"Realme 8","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 8. Shockproof protection, precise cutouts and lightweight design.","REA-00176","55","99","199","50","/uploads/backcase/Realme Back case/Realme 8/Realme 8 1.jpg|/uploads/backcase/Realme Back case/Realme 8/Realme 8 2.jpg|/uploads/backcase/Realme Back case/Realme 8/Realme 8 3.jpg|/uploads/backcase/Realme Back case/Realme 8/Realme 8 4.jpg|/uploads/backcase/Realme Back case/Realme 8/Realme 8 5.jpg","Active"
"Realme 8 i","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 8 i. Shockproof protection, precise cutouts and lightweight design.","REA-00177","55","99","199","50","/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 1.jpg|/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 2.jpg|/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 3.jpg|/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 4.jpg|/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 5.jpg|/uploads/backcase/Realme Back case/Realme 8 i/Realme 8i 6.jpg","Active"
"Realme 9","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 9. Shockproof protection, precise cutouts and lightweight design.","REA-00178","55","99","199","50","/uploads/backcase/Realme Back case/Realme 9/Realme 9 1.jpg|/uploads/backcase/Realme Back case/Realme 9/Realme 9 2.jpg|/uploads/backcase/Realme Back case/Realme 9/Realme 9 3.jpg|/uploads/backcase/Realme Back case/Realme 9/Realme 9 4.jpg|/uploads/backcase/Realme Back case/Realme 9/Realme 9 5.jpg|/uploads/backcase/Realme Back case/Realme 9/Realme 9 6.jpg","Active"
"Realme 9i","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme 9i. Shockproof protection, precise cutouts and lightweight design.","REA-00179","55","99","199","50","/uploads/backcase/Realme Back case/Realme 9i/Realme 9i 1.jpg|/uploads/backcase/Realme Back case/Realme 9i/Realme 9i 2.jpg|/uploads/backcase/Realme Back case/Realme 9i/Realme 9i 3.jpg|/uploads/backcase/Realme Back case/Realme 9i/Realme 9i 4.jpg|/uploads/backcase/Realme Back case/Realme 9i/Realme 9i 5.jpg","Active"
"Realme C11","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme C11. Shockproof protection, precise cutouts and lightweight design.","REA-00180","55","99","199","50","/uploads/backcase/Realme Back case/Realme C11/Realme C11 1.jpg|/uploads/backcase/Realme Back case/Realme C11/Realme C11 2.jpg|/uploads/backcase/Realme Back case/Realme C11/Realme C11 3.jpg|/uploads/backcase/Realme Back case/Realme C11/Realme C11 4.jpg|/uploads/backcase/Realme Back case/Realme C11/Realme C11 5.jpg","Active"
"Realme C11 2020","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme C11 2020. Shockproof protection, precise cutouts and lightweight design.","REA-00181","55","99","199","50","/uploads/backcase/Realme Back case/Realme C11 2020/Realme C11 2020 1.jpg|/uploads/backcase/Realme Back case/Realme C11 2020/Realme C11 2020 2.jpg|/uploads/backcase/Realme Back case/Realme C11 2020/Realme C11 2020 3.jpg|/uploads/backcase/Realme Back case/Realme C11 2020/Realme C11 2020 4.jpg|/uploads/backcase/Realme Back case/Realme C11 2020/Realme C11 2020 5.jpg","Active"
"Realme C12","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme C12. Shockproof protection, precise cutouts and lightweight design.","REA-00182","55","99","199","50","/uploads/backcase/Realme Back case/Realme C12/Realme C12 1.jpg|/uploads/backcase/Realme Back case/Realme C12/Realme C12 2.jpg|/uploads/backcase/Realme Back case/Realme C12/Realme C12 3.jpg|/uploads/backcase/Realme Back case/Realme C12/Realme C12 4.jpg|/uploads/backcase/Realme Back case/Realme C12/Realme C12 5.jpg","Active"
"Realme C15 4G","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme C15 4G. Shockproof protection, precise cutouts and lightweight design.","REA-00183","55","99","199","50","/uploads/backcase/Realme Back case/Realme C15 4G/Realme C15 4G  1.jpg|/uploads/backcase/Realme Back case/Realme C15 4G/Realme C15 4G 2.jpg|/uploads/backcase/Realme Back case/Realme C15 4G/Realme C15 4G 3.jpg|/uploads/backcase/Realme Back case/Realme C15 4G/Realme C15 4G 4.jpg|/uploads/backcase/Realme Back case/Realme C15 4G/Realme C15 4G 5.jpg","Active"
"Realme C2 2","Realme","Mobile Accessories","Back Cases","Premium transparent back case designed for Realme C2 2. Shockproof protection, precise cutouts and lightweight design.","REA-00184","55","99","199","50","/uploads/backcase/Realme Back case/Realme C2 2/Realme C2 2  2.jpg|/uploads/backcase/Realme Back case/Realme C2 2/Realme C2 2  3.jpg|/uploads/backcase/Realme Back case/Realme C2 2/Realme C2 2  4.jpg|/uploads/backcase/Realme Back case/Realme C2 2/Realme C2 2  5.jpg|/uploads/backcase/Realme Back case/Realme C2 2/Realme C2 2 1.jpg","Active"
